id;name;handle
1;homeschool meanwhile across;low expansion
2;coaxingly;sans acceptable
3;agreeable ferociously whoa;pish exactly atop
4;save whose;unit exhausted
5;ponder circular;brightly rigid next
6;regarding pfft;begonia brr
7;boo variable;tune inquisitively attribute
8;suspiciously oh;wherever
9;once aside concerning;boohoo
10;window earth;shallow triangular
11;who delicious;settler
12;uselessly hm;solemnly parched so
13;antagonize;quicker likewise whine
14;gadzooks;assist
15;recommendation book brr;arrogantly artistic jaunty
16;onto sans;illusion
17;since except yahoo;brook
18;rotating boo who;grade juicy
19;dandelion cheese till;unhappy fooey against
20;oil furthermore;whoever cycle
21;yahoo reasonable though;extroverted
22;bah;excitedly breakable
23;gah;usually charming
24;wasteful quarterly;mobilise considering ascribe
25;times ew;making roundabout
26;psst;mortar coaxingly
27;scruple leading ick;yum strictly almost
28;anticodon;sternly hence
29;bravely searchingly past;against
30;too;following soliloquy notwithstanding
