id;my_field_a;my_field_b;my_field_c;my_field_d;my_field_e
1;AAA;AAA;BBB;BBB;BBB
2;BBB;AAA;BBB;AAA;AAA
3;AAA;AAA;BBB;AAA;AAA
4;AAA;AAA;BBB;AAA;AAA
5;BBB;AAA;AAA;AAA;AAA
6;AAA;AAA;BBB;AAA;BBB
7;AAA;BBB;BBB;AAA;AAA
8;AAA;AAA;AAA;BBB;AAA
9;AAA;BBB;AAA;BBB;BBB
10;BBB;AAA;BBB;BBB;AAA
11;BBB;AAA;AAA;AAA;AAA
12;BBB;AAA;AAA;BBB;BBB
13;BBB;AAA;BBB;BBB;BBB
14;AAA;AAA;AAA;BBB;AAA
15;AAA;AAA;AAA;BBB;BBB
16;BBB;AAA;BBB;AAA;BBB
17;AAA;AAA;BBB;BBB;BBB
18;AAA;AAA;AAA;AAA;BBB
19;AAA;BBB;BBB;AAA;BBB
20;BBB;BBB;AAA;BBB;BBB
21;BBB;BBB;AAA;BBB;BBB
22;BBB;AAA;AAA;BBB;AAA
23;AAA;BBB;BBB;BBB;AAA
24;AAA;AAA;AAA;AAA;BBB
25;AAA;AAA;AAA;BBB;AAA
26;AAA;AAA;AAA;AAA;AAA
27;BBB;AAA;AAA;AAA;AAA
28;BBB;BBB;BBB;AAA;AAA
29;BBB;AAA;AAA;BBB;BBB
30;BBB;BBB;AAA;BBB;BBB
