id;hugo
1;phony
2;ack ridge
3;buzzing inasmuch meanwhile
4;unhappy unique
5;why
6;second-hand gee pace
7;lazy
8;majestically beautifully oil
9;partially
10;although
11;scratch
12;extent ostrich
13;astride till
14;govern
15;oh alongside phooey
16;mad
17;downshift exalted
18;adolescent quarrelsomely among
19;physical blah judgementally
20;well-off
21;attribute tightly
22;dusk gracefully monumental
23;shirk playfully netsuke
24;hydrolyse
25;deduce
26;usually how old-fashioned
27;pinstripe softly
28;barring underplay joyously
29;supposing abscond
30;ack surprised
