id;date;description;amount
1;2015-08-04T21:39:21;ha frozen truthfully;20389.83
2;2015-08-04T15:53:02;neatly famously faint;16854.72
3;2015-08-05T05:36:00;clueless um;22489.75
4;2015-08-04T22:44:01;or apud diligently;15271.55
5;2015-08-04T20:03:32;stuff;30401.86
6;2015-08-05T07:28:59;spellcheck creamy;5189.22
7;2015-08-05T01:08:06;accompanist though nor;4309.16
8;2015-08-04T19:55:17;geez even which;7024.67
9;2015-08-04T23:34:05;phew randomize;21996.52
10;2015-08-05T07:44:39;boo failing deceivingly;11981.04
11;2015-08-04T18:10:21;reclassify abnormally instead;29888.14
12;2015-08-04T23:52:20;divine;8270.43
13;2015-08-05T11:28:42;over entwine;11804.22
14;2015-08-04T14:52:04;naturally gadzooks or;786.13
15;2015-08-04T15:12:27;hammock;21826.46
16;2015-08-05T02:10:35;terraform lest;11104.77
17;2015-08-04T15:11:40;unlearn limply under;6095.57
18;2015-08-05T01:40:50;achieve majestically;13140.84
19;2015-08-04T15:58:12;mmm brr while;29091.07
20;2015-08-04T17:48:21;yuck;19831.1
21;2015-08-04T21:30:58;outside finally;4324.01
22;2015-08-04T22:17:29;without closely briefly;7219.72
23;2015-08-05T09:28:17;meh revere humidity;22049.32
24;2015-08-05T04:11:38;concentration round;12733.01
25;2015-08-05T12:10:40;exactly whether;8532.16
26;2015-08-05T01:11:01;ocelot;30137.99
27;2015-08-04T17:56:56;uh-huh oh throughout;1568.16
28;2015-08-05T08:34:28;functional wrathful entry;17600.7
29;2015-08-05T03:39:34;overfeed;1235.55
30;2015-08-04T20:18:47;degrease enthusiastically;27643.47
