id;title;price;image;image_content_type
1;fat how warp;27446.56;../fake-data/blob/hipster.png;image/png
2;beneath;18459.52;../fake-data/blob/hipster.png;image/png
3;nor;13549.71;../fake-data/blob/hipster.png;image/png
4;forceful;17963.05;../fake-data/blob/hipster.png;image/png
5;commonly blindly;26078.9;../fake-data/blob/hipster.png;image/png
6;worth;28928.69;../fake-data/blob/hipster.png;image/png
7;likely male;9323.47;../fake-data/blob/hipster.png;image/png
8;secret;23093.76;../fake-data/blob/hipster.png;image/png
9;sate confused stark;6251.46;../fake-data/blob/hipster.png;image/png
10;entry ouch;12911.04;../fake-data/blob/hipster.png;image/png
11;yowza;28411.24;../fake-data/blob/hipster.png;image/png
12;well-made jaggedly wisely;7517.58;../fake-data/blob/hipster.png;image/png
13;before palatable knottily;1810.61;../fake-data/blob/hipster.png;image/png
14;phew;21724.24;../fake-data/blob/hipster.png;image/png
15;ick;20382.54;../fake-data/blob/hipster.png;image/png
16;omelet;11737.82;../fake-data/blob/hipster.png;image/png
17;indeed;7077.25;../fake-data/blob/hipster.png;image/png
18;into;32303.09;../fake-data/blob/hipster.png;image/png
19;furiously;31789.4;../fake-data/blob/hipster.png;image/png
20;heighten fathom now;31496.11;../fake-data/blob/hipster.png;image/png
21;curiously;11485.67;../fake-data/blob/hipster.png;image/png
22;likewise;24874.76;../fake-data/blob/hipster.png;image/png
23;glum;28010.51;../fake-data/blob/hipster.png;image/png
24;correctly infamous stint;29216.57;../fake-data/blob/hipster.png;image/png
25;alb afore whole;5399.01;../fake-data/blob/hipster.png;image/png
26;biodegrade hence;8665.1;../fake-data/blob/hipster.png;image/png
27;wholly cellar expostulate;11521.75;../fake-data/blob/hipster.png;image/png
28;aware versus;13705.42;../fake-data/blob/hipster.png;image/png
29;appropriate reckless;20494.69;../fake-data/blob/hipster.png;image/png
30;parody vice wearily;18031.42;../fake-data/blob/hipster.png;image/png
